entity_id,type,name,stream,source_kb,evidence_tier,ruo,validation_holds,reproduced_in_session,n_source_receipts,source_files,n_verbatim_evidence
governance_item:pub_spe_not_efficacy,governance_item,"SPE gap-ratio is a FEASIBILITY pre-filter, NOT efficacy proof",v3:artistry7_publications,artistry7_platinum_window,,,,,1,artistry7_integration::governance (derived from manuscript RUO statements + limitation sections),1
governance_item:pub_timing_internal_not_clinical,governance_item,"Timing engine internal verification = CONSISTENCY, not clinical validity",v3:artistry7_publications,artistry7_platinum_window,,,,,1,artistry7_integration::governance (derived from manuscript RUO statements + limitation sections),1
outcome:hgsoc_fingerprint_hr,outcome_metric,"HGSOC low-FAP/high-CXCL10 fingerprint OS HR=0.7208 (95% CI 0.6282-0.8270, p=3.05e-6)",v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
outcome:hgsoc_stouffer,outcome_metric,"HGSOC per-cohort Stouffer z=2.3219, two-sided p=0.0202 (11/16 favorable)",v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_26cohort_fingerprint_validation_summary.json,1
outcome:spe_llm_accuracy,outcome_metric,LLM PK-reasoning 36% verdict accuracy (5/14) vs SPE deterministic,v3:artistry7_publications,artistry7_platinum_window,,,,,1,MANUSCRIPT.md,1
outcome:timing_exact_day_agreement,outcome_metric,Timing engine 95.6% exact-day PFI agreement (262/274) vs Villalobos,v3:artistry7_publications,artistry7_platinum_window,,,,,1,statistics_summary.txt,1
cohort:gse32062_holdout,patient_cohort,"GSE32062 external holdout (n=260, GPL6480) — fingerprint did NOT validate",v3:artistry7_publications,artistry7_platinum_window,,,False,,1,validation_manifest.json,1
cohort:metagx_e_mtab_386,patient_cohort,MetaGxOvarian cohort E.MTAB.386 (n=129),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse13876,patient_cohort,MetaGxOvarian cohort GSE13876 (n=157),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse14764,patient_cohort,MetaGxOvarian cohort GSE14764 (n=79),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse17260,patient_cohort,MetaGxOvarian cohort GSE17260 (n=110),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse18520,patient_cohort,MetaGxOvarian cohort GSE18520 (n=53),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse26712,patient_cohort,MetaGxOvarian cohort GSE26712 (n=185),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse30161,patient_cohort,MetaGxOvarian cohort GSE30161 (n=58),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse32062,patient_cohort,MetaGxOvarian cohort GSE32062 (n=257),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse32063,patient_cohort,MetaGxOvarian cohort GSE32063 (n=40),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse49997,patient_cohort,MetaGxOvarian cohort GSE49997 (n=194),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse51088,patient_cohort,MetaGxOvarian cohort GSE51088 (n=152),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse8842,patient_cohort,MetaGxOvarian cohort GSE8842 (n=83),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_gse9891,patient_cohort,MetaGxOvarian cohort GSE9891 (n=269),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_pmid17290060,patient_cohort,MetaGxOvarian cohort PMID17290060 (n=117),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_pmid19318476,patient_cohort,MetaGxOvarian cohort PMID19318476 (n=42),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
cohort:metagx_tcgaovarian,patient_cohort,MetaGxOvarian cohort TCGAOVARIAN (n=521),v3:artistry7_publications,artistry7_platinum_window,,,,,1,metagx_16cohort_pooled_cox.json,1
publication:hgsoc_fap_cxcl10_subgroup,publication,Low-FAP/High-CXCL10 transcriptional state identifies a favorable-survival HGSOC subgroup across 16 pooled cohorts,v3:artistry7_publications,artistry7_platinum_window,,True,,,1,manuscript.md,3
publication:spe_feasibility_gate,publication,Structural Pharmacology Engine (SPE): Deterministic PK Feasibility Gating for Drug Repurposing,v3:artistry7_publications,artistry7_platinum_window,,False,,,1,MANUSCRIPT.md,2
publication:timing_engine,publication,"A Configurable Timing Engine for Ovarian Cancer Treatment History Analysis: Development, Internal Verification, and External Validation",v3:artistry7_publications,artistry7_platinum_window,,True,,,1,MANUSCRIPT_DRAFT.md,2
validation_result:hgsoc_gse32062_negative,validation_result,HGSOC fingerprint GSE32062 external validation (NEGATIVE),v3:artistry7_publications,artistry7_platinum_window,,,False,True,1,validation_manifest.json,2
validation_result:hgsoc_percohort_meta,validation_result,HGSOC per-cohort meta-analysis (concordant),v3:artistry7_publications,artistry7_platinum_window,,,True,True,1,metagx_26cohort_fingerprint_validation_summary.json,2
validation_result:hgsoc_pooled_cox_positive,validation_result,"HGSOC fingerprint pooled Cox (POSITIVE, discovery)",v3:artistry7_publications,artistry7_platinum_window,,,True,True,1,metagx_16cohort_pooled_cox.json,2
validation_result:spe_llm_benchmark,validation_result,SPE vs LLM PK-reasoning benchmark,v3:artistry7_publications,artistry7_platinum_window,,,True,False,1,MANUSCRIPT.md,2
validation_result:timing_ariel3_inconclusive,validation_result,Timing engine external validation vs ARIEL3 (INCONCLUSIVE),v3:artistry7_publications,artistry7_platinum_window,,,,False,1,MANUSCRIPT_DRAFT.md,2
validation_result:timing_internal_villalobos,validation_result,Timing engine internal verification vs Villalobos TCGA-OV,v3:artistry7_publications,artistry7_platinum_window,,,True,True,1,statistics_summary.txt,2
